id,label,url,type
healthcare-command,Healthcare Command,/healthcare-command.html,local
honor-health,Honor Health Portal,https://honor-portal.fly.dev/,external
ameris-construction,Ameris Construction,https://ameris-portal.fly.dev/,external
case-tech,Case-Tech Command,https://case-tech.fly.dev/,external
esd-portal,ESD Portal,https://esd-portal.fly.dev/,external
dme,DME,/dme.html,local
bpo-legal,BPO Legal,/bpo-legal.html,local
bpo-realty,BPO Realty,/bpo-realty.html,local
bpo-tax,BPO Tax,/bpo-tax.html,local
client-access,Client Access,/client-access.html,local
concierge-command,Concierge Command,/concierge-command.html,local
construction,Construction,/construction.html,local
construction-command,Construction Command,/construction-command.html,local
bpo-construction,BPO Construction,/bpo-construction.html,local
